Argentina,12
Australia,135
Austria,2
Belgium,50
Bermuda,2
Brazil,78
Cameroon,1
Canada,340
Croatia,1
Cuba,5
Czech Republic,1
Denmark,20
Dominican Republic,3
Finland,102
France,179
Georgia,6
Germany,143
Greece,16
Guinea,1
Iceland,5
Indonesia,1
Ireland,113
Israel,5
Italy,126
Jamaica,79
Japan,11
Mexico,15
Netherlands,72
New Zealand,3
Norway,51
Panama,2
Poland,14
Portugal,3
Russian Federation,1
Réunion,1
Senegal,2
Slovenia,1
South Africa,8
Spain,26
Sweden,138
Switzerland,4
United Kingdom,1945
United States,7142
Uruguay,1
