index,artist,title,language,location,year,LAT,LONG,SHORT_NAME
0,Claude François,Comme d'habitude,French,France,1967,46.0,2.0,France
1,Michel Pagliaro,Comme d'habitude,French,Canada,1968,60.0,-96.0,Canada
2,Michel Sardou,Comme d'habitude,French,France,1978,46.0,2.0,France
3,Hervé Vilard,Comme d'habitude,French,France,1984,46.0,2.0,France
4,Mireille Mathieu,Comme d'habitude,French,France,1985,46.0,2.0,France
5,Ruggero Raimondi,Comme d'habitude,French,Italy,1988,42.833333,12.833333,Italy
6,Florent Pagny,Comme d'habitude,French,France,1989,46.0,2.0,France
7,Richard Anthony,Comme d'habitude,French,France,1996,46.0,2.0,France
8,Herbert Léonard,Comme d'habitude,French,France,1998,46.0,2.0,France
9,Gunvor,Comme d'habitude,English,Switzerland,1970,47.0,8.0,Switzerland
10,Elli Medeiros,Comme d'habitude,French,Uruguay,2008,-33.0,-56.0,Uruguay
11,Eddy et les vedettes,Comme d'habitude,French,Belgium,2010,50.833333,4.0,Belgium
12,Tale of Voices,Comme d'habitude,French,France,2012,46.0,2.0,France
13,Liliane Saint-Pierre,Comme d'habitude,French,Belgium,2014,50.833333,4.0,Belgium
14,M. Pokora,Comme d'habitude,French,France,2016,46.0,2.0,France
15,Charlie Byrd,My Way,Instrumental,United States,1969,39.828175,-98.5795,United States
16,Chet Atkins,My Way,Instrumental,United States,1969,39.828175,-98.5795,United States
17,Bill Watrous with The Walter Raim Concept,My Way,Instrumental,United States,1969,39.828175,-98.5795,United States
18,Ferrante & Teicher,My Way,Instrumental,United States,1969,39.828175,-98.5795,United States
19,Mantovani and His Orchestra,My Way,Instrumental,United Kingdom,1970,54.0,-4.0,United Kingdom
20,Peter Nero,My Way,Instrumental,United States,1970,39.828175,-98.5795,United States
21,The StereoAction Orchestra,My Way,Instrumental,United Kingdom,1971,54.0,-4.0,United Kingdom
22,Gene Ammons,My Way,Instrumental,United States,1971,39.828175,-98.5795,United States
23,The Don Reeve Sound,My Way (Comme d'habitude),Instrumental,United Kingdom,1971,54.0,-4.0,United Kingdom
24,Phil Allen,My Way,Instrumental,United Kingdom,1971,54.0,-4.0,United Kingdom
25,Bert Kaempfert and His Orchestra,My Way,Instrumental,Germany,1972,51.5,10.5,Germany
26,Takeshi Inomata,My Way,Instrumental,Japan,1975,36.0,138.0,Japan
27,Jean-Claude Pelletier et son orchestre,My Way,Instrumental,France,1976,46.0,2.0,France
28,Claude Denjean,My Way,Instrumental,France,1977,46.0,2.0,France
29,Franck Pourcel Orchestra,My Way,Instrumental,France,1978,46.0,2.0,France
30,Yuzuru Sera,My Way,InstrumentalSolopiano.,Japan,1978,36.0,138.0,Japan
31,Caravelli,Comme d'habitude,Instrumental,France,1978,46.0,2.0,France
32,Ady Zehnpfennig,My Way,Instrumental,Germany,1979,51.5,10.5,Germany
33,Pino Calvi,My Way,Instrumental,Italy,1980,42.833333,12.833333,Italy
34,Richard Clayderman,My Way,Instrumental,France,1980,46.0,2.0,France
35,Claude Colombier,My Way,Instrumental,France,1981,46.0,2.0,France
36,Fausto Papetti,My Way,Instrumental,Italy,1982,42.833333,12.833333,Italy
37,Henk Borghuis,My Way,Instrumental,Netherlands,1982,52.5,5.75,Netherlands
38,Pierre Buzon,Comme d'habitude,Instrumental,France,1985,46.0,2.0,France
39,Berndt Egerbladh Trio,My Way,Instrumental,Sweden,1985,62.0,15.0,Sweden
40,Gunnar Lundström,My Way,Instrumental,Sweden,1986,62.0,15.0,Sweden
41,Barney Wilen,My Way,Instrumental,France,1987,46.0,2.0,France
